record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.HPBITABLO2.1,A. TOPLAM MEVDUAT (Bin TL),TP.HPBITABLO2.1,evds2,weekly,Bin TL,Resmi seri adi: A. TOPLAM MEVDUAT (Bin TL) | Durum: derived_input,Notebook rolu: stock_total,,theme:dth,derived:dth-share-in-total-deposits|derived:resident-deposit-share-in-total-deposits,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.2,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL),TP.HPBITABLO2.2,evds2,weekly,Bin TL,Resmi seri adi: 1. Yurt İçi Yerleşikler (Bin TL) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:dth,derived:dth-share-in-resident-deposits|derived:resident-deposit-share-in-total-deposits,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.3,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / a. TL (Bin TL),TP.HPBITABLO2.3,evds2,weekly,Bin TL,Resmi seri adi: a. TL (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.4,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / I. Gerçek Kişiler (Bin TL),TP.HPBITABLO2.4,evds2,weekly,Bin TL,Resmi seri adi: I. Gerçek Kişiler (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.5,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / II. Tüzel Kişiler (Bin TL),TP.HPBITABLO2.5,evds2,weekly,Bin TL,Resmi seri adi: II. Tüzel Kişiler (Bin TL) | Durum: derived_input,Notebook rolu: stock_component,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.6,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / b. YP (Bin TL),TP.HPBITABLO2.6,evds2,weekly,Bin TL,Resmi seri adi: b. YP (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.7,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / I. Gerçek Kişiler (Bin TL),TP.HPBITABLO2.7,evds2,weekly,Bin TL,Resmi seri adi: I. Gerçek Kişiler (Bin TL) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.8,A. TOPLAM MEVDUAT (Bin TL) / 1. Yurt İçi Yerleşikler (Bin TL) / II. Tüzel Kişiler (Bin TL),TP.HPBITABLO2.8,evds2,weekly,Bin TL,Resmi seri adi: II. Tüzel Kişiler (Bin TL) | Durum: derived_input,Notebook rolu: stock_component,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.10,Bilgi İçin: Toplam YP Mevduat (Milyon ABD Doları),TP.HPBITABLO2.10,evds2,weekly,Milyon ABD Doları,Resmi seri adi: Bilgi İçin: Toplam YP Mevduat (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: stock_total,,theme:dth,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.11,Bilgi İçin: Gerçek Kişi YP Mevduatı (Milyon ABD Doları),TP.HPBITABLO2.11,evds2,weekly,Milyon ABD Doları,Resmi seri adi: Bilgi İçin: Gerçek Kişi YP Mevduatı (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: stock_component,,theme:dth,,,,,,,,,,,,,,,
