record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.EBONDYAZDEG.S2D,Diğer,TP.EBONDYAZDEG.S2D,evds2,weekly,,Resmi seri adi: Diğer | Durum: derived_input,Notebook rolu: stock_component,,theme:eurobond|theme:external-financing,derived:eurobond-foreign-stock|derived:eurobond-foreign-share|derived:hazine-eurobond-foreign-stock|derived:hazine-eurobond-foreign-share,,,,,,,,,,,,,,
series,evds:TP.EBONDYAZDEG.ST,"Toplam (S.1, S.2)",TP.EBONDYAZDEG.ST,evds2,weekly,,"Resmi seri adi: Toplam (S.1, S.2) | Durum: derived_input",Notebook rolu: stock_total,,theme:eurobond|theme:external-financing,derived:eurobond-total-stock|derived:eurobond-foreign-share|derived:hazine-eurobond-total|derived:hazine-eurobond-foreign-share,,,,,,,,,,,,,,
series,evds:TP.YDOSBAYAZDEG.S11T,"Toplam (S.1, S.2) (Finansal Olmayan Kuruluşlarca İhraç Edilen)",TP.YDOSBAYAZDEG.S11T,evds2,weekly,,"Resmi seri adi: Toplam (S.1, S.2) (Finansal Olmayan Kuruluşlarca İhraç Edilen) | Durum: derived_input",Notebook rolu: stock_total,,theme:eurobond|theme:external-financing,derived:eurobond-total-stock|derived:eurobond-foreign-share|derived:ozel-sektor-eurobond-total|derived:ozel-sektor-eurobond-foreign-share,,,,,,,,,,,,,,
series,evds:TP.YDOSBAYAZDEG.S122T,"Toplam (S.1, S.2) (Bankalar Tarafından İhraç Edilen)",TP.YDOSBAYAZDEG.S122T,evds2,weekly,,"Resmi seri adi: Toplam (S.1, S.2) (Bankalar Tarafından İhraç Edilen) | Durum: derived_input",Notebook rolu: stock_total,,theme:eurobond|theme:external-financing,,,,,,,,,,,,,,,
series,evds:TP.YDOSBAYAZDEG.S125T,"Toplam (S.1, S.2) (Diğer Finansal Aracılar Tarafından İhraç Edilen)",TP.YDOSBAYAZDEG.S125T,evds2,weekly,,"Resmi seri adi: Toplam (S.1, S.2) (Diğer Finansal Aracılar Tarafından İhraç Edilen) | Durum: derived_input",Notebook rolu: stock_total,,theme:eurobond|theme:external-financing,,,,,,,,,,,,,,,
series,evds:TP.YDOSBAYAZDEG.S126T,"Toplam (S.1, S.2) (Finansal Yardımcılar Tarafından İhraç Edilen)",TP.YDOSBAYAZDEG.S126T,evds2,weekly,,"Resmi seri adi: Toplam (S.1, S.2) (Finansal Yardımcılar Tarafından İhraç Edilen) | Durum: derived_input",Notebook rolu: stock_total,,theme:eurobond|theme:external-financing,,,,,,,,,,,,,,,
series,evds:TP.YDOSBAYAZDEG.S19,Diğer (Finansal Olmayan Kuruluşlarca İhraç Edilen),TP.YDOSBAYAZDEG.S19,evds2,weekly,,Resmi seri adi: Diğer (Finansal Olmayan Kuruluşlarca İhraç Edilen) | Durum: derived_input,Notebook rolu: stock_component,,theme:eurobond|theme:external-financing,derived:eurobond-foreign-stock|derived:eurobond-foreign-share|derived:ozel-sektor-eurobond-foreign-stock|derived:ozel-sektor-eurobond-foreign-share,,,,,,,,,,,,,,
series,evds:TP.YDOSBAYAZDEG.S38,Diğer (Bankalar Tarafından İhraç Edilen),TP.YDOSBAYAZDEG.S38,evds2,weekly,,Resmi seri adi: Diğer (Bankalar Tarafından İhraç Edilen) | Durum: derived_input,Notebook rolu: stock_component,,theme:eurobond|theme:external-financing,,,,,,,,,,,,,,,
series,evds:TP.YDOSBAYAZDEG.S55,Dünyanın Geri Kalanı (S.2) (Diğer Finansal Aracılar Tarafından İhraç Edilen),TP.YDOSBAYAZDEG.S55,evds2,weekly,,Resmi seri adi: Dünyanın Geri Kalanı (S.2) (Diğer Finansal Aracılar Tarafından İhraç Edilen) | Durum: derived_input,Notebook rolu: stock_component,,theme:eurobond|theme:external-financing,,,,,,,,,,,,,,,
series,evds:TP.YDOSBAYAZDEG.S76,Diğer (Finansal Yardımcılar Tarafından İhraç Edilen),TP.YDOSBAYAZDEG.S76,evds2,weekly,,Resmi seri adi: Diğer (Finansal Yardımcılar Tarafından İhraç Edilen) | Durum: derived_input,Notebook rolu: stock_component,,theme:eurobond|theme:external-financing,,,,,,,,,,,,,,,
indicator,derived:eurobond-total-stock,Eurobond Toplam Stok,,,,,,,,theme:eurobond,,evds:TP.EBONDYAZDEG.ST|evds:TP.YDOSBAYAZDEG.S11T,,,weekly,usd_bn,Toplam eurobond stokunu izler.,,,,,,,,
indicator,derived:eurobond-foreign-stock,Eurobond Yabanci Stok,,,,,,,,theme:eurobond,,evds:TP.EBONDYAZDEG.S2D|evds:TP.YDOSBAYAZDEG.S19,,,weekly,usd_bn,Toplam eurobond yabanci stokunu izler.,,,,,,,,
indicator,derived:eurobond-foreign-share,Eurobond Yabanci Payi,,,,,,,,theme:eurobond,,evds:TP.EBONDYAZDEG.ST|evds:TP.EBONDYAZDEG.S2D|evds:TP.YDOSBAYAZDEG.S11T|evds:TP.YDOSBAYAZDEG.S19,,Hazine ve ozel sektor yabanci stoklarinin toplam stoga orani.,weekly,ratio,Toplam eurobond stokundaki yabanci payini izler.,,,,,,,,
indicator,derived:hazine-eurobond-total,Hazine Eurobond Toplam,,,,,,,,theme:eurobond|theme:external-financing,,evds:TP.EBONDYAZDEG.ST|source:eurobnd-hmb-odeme-projeksiyonu,,,weekly,usd_bn,Hazine eurobond toplam stokunu izler.,,,,,,,,
indicator,derived:hazine-eurobond-foreign-stock,Hazine Eurobond Yabanci Stok,,,,,,,,theme:eurobond,,evds:TP.EBONDYAZDEG.S2D,,,weekly,usd_bn,Hazine eurobond yabanci stokunu izler.,,,,,,,,
