record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.HPBITABLO5.1,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları),TP.HPBITABLO5.1,evds2,weekly,Milyon ABD Doları,Resmi seri adi: A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.2,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları),TP.HPBITABLO5.2,evds2,weekly,Milyon ABD Doları,Resmi seri adi: 1. Gerçek Kişiler (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.3,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / a. ABD Doları Cinsi Mevduatlar (Milyon ABD Doları),TP.HPBITABLO5.3,evds2,weekly,Milyon ABD Doları,Resmi seri adi: a. ABD Doları Cinsi Mevduatlar (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.4,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / b. Euro Cinsi Mevduatlar (Milyon ABD Doları),TP.HPBITABLO5.4,evds2,weekly,Milyon ABD Doları,Resmi seri adi: b. Euro Cinsi Mevduatlar (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.5,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / c. Diğer Para Cinsi Mevduatlar (Milyon ABD Doları),TP.HPBITABLO5.5,evds2,weekly,Milyon ABD Doları,Resmi seri adi: c. Diğer Para Cinsi Mevduatlar (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.6,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 1. Gerçek Kişiler (Milyon ABD Doları) / d. Kıymetli Maden Depo Hesapları (Milyon ABD Doları),TP.HPBITABLO5.6,evds2,weekly,Milyon ABD Doları,Resmi seri adi: d. Kıymetli Maden Depo Hesapları (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.7,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları),TP.HPBITABLO5.7,evds2,weekly,Milyon ABD Doları,Resmi seri adi: 2. Tüzel Kişiler (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: owner_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.8,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / a. ABD Doları Cinsi Mevduatlar (Milyon ABD Doları),TP.HPBITABLO5.8,evds2,weekly,Milyon ABD Doları,Resmi seri adi: a. ABD Doları Cinsi Mevduatlar (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.9,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / b. Euro Cinsi Mevduatlar (Milyon ABD Doları),TP.HPBITABLO5.9,evds2,weekly,Milyon ABD Doları,Resmi seri adi: b. Euro Cinsi Mevduatlar (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO5.10,A. Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler) (Milyon ABD Doları) / 2. Tüzel Kişiler (Milyon ABD Doları) / c. Diğer Para Cinsi Mevduatlar (Milyon ABD Doları),TP.HPBITABLO5.10,evds2,weekly,Milyon ABD Doları,Resmi seri adi: c. Diğer Para Cinsi Mevduatlar (Milyon ABD Doları) | Durum: derived_input,Notebook rolu: currency_split_line,,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities,,,,,,,,,,,,,,,
