record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.AB.A02,A.1_DIŞ VARLIKLAR(Bin TL),TP.AB.A02,evds2,daily,Bin TL,Resmi seri adi: A.1_DIŞ VARLIKLAR(Bin TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:reserves|theme:net-reserve-estimate,derived:estimated-net-reserve,,,,,,,,,,,,,,
series,evds:TP.AB.A10,P.1_TOPLAM DÖVİZ YÜKÜMLÜLÜKLERİ(Bin TL),TP.AB.A10,evds2,daily,Bin TL,Resmi seri adi: P.1_TOPLAM DÖVİZ YÜKÜMLÜLÜKLERİ(Bin TL) | Durum: derived_input,Notebook rolu: stock_total,,theme:reserves|theme:net-reserve-estimate,derived:estimated-net-reserve,,,,,,,,,,,,,,
series,evds:TP.AB.A11,P.1a_Dış Yükümlülükler(Bin TL),TP.AB.A11,evds2,daily,Bin TL,Resmi seri adi: P.1a_Dış Yükümlülükler(Bin TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:reserves|theme:net-reserve-estimate,derived:estimated-net-reserve,,,,,,,,,,,,,,
series,evds:TP.AB.A13,P.1ba_Kamu ve Diğer Döviz Mevduatı(Bin TL),TP.AB.A13,evds2,daily,Bin TL,Resmi seri adi: P.1ba_Kamu ve Diğer Döviz Mevduatı(Bin TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:reserves|theme:net-reserve-estimate,derived:estimated-net-reserve,,,,,,,,,,,,,,
series,evds:TP.AB.A14,P.1bb_Bankalar Döviz Mevduatı(Bin TL),TP.AB.A14,evds2,daily,Bin TL,Resmi seri adi: P.1bb_Bankalar Döviz Mevduatı(Bin TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:reserves|theme:net-reserve-estimate,derived:estimated-net-reserve,,,,,,,,,,,,,,
series,evds:TP.AB.C1,Altın(Milyon ABD Doları),TP.AB.C1,evds2,weekly,Milyon ABD Doları,Resmi seri adi: Altın(Milyon ABD Doları) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:reserves|theme:net-reserve-estimate,derived:reserve-total|derived:reserve-gold|derived:gold-share-in-reserves,,,,,,,,,,,,,,
series,evds:TP.AB.C2,Döviz(Milyon ABD Doları),TP.AB.C2,evds2,weekly,Milyon ABD Doları,Resmi seri adi: Döviz(Milyon ABD Doları) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:reserves|theme:net-reserve-estimate,derived:reserve-total|derived:reserve-fx|derived:gold-share-in-reserves,,,,,,,,,,,,,,
series,evds:TP.AB.N06,Net Rezerv TL (Bin TL),TP.AB.N06,evds2,weekly,Bin TL,Resmi seri adi: Net Rezerv TL (Bin TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:reserves|theme:net-reserve-estimate,derived:net-reserve-standby,,,,,,,,,,,,,,
series,evds:TP.DK.USD.A.YTL,(USD) ABD Doları (Döviz Alış),TP.DK.USD.A.YTL,evds2,daily,USD,Resmi seri adi: (USD) ABD Doları (Döviz Alış) | Durum: derived_input,Notebook rolu: ratio_input,,theme:reserves|theme:net-reserve-estimate,derived:net-reserve-standby|derived:estimated-net-reserve,,,,,,,,,,,,,,
series,evds:TP.DOVVARNC.K18,"Swap (Aylik, MB)",TP.DOVVARNC.K18,evds2,monthly,"Aylik, MB","Resmi seri adi: Swap (Aylik, MB) | Durum: listed_only",Notebook rolu: dormant_candidate,,theme:reserves|theme:net-reserve-estimate,,,,,,,,,,,,,,,
