record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.HPBITABLO4.1,Bankalar YP Mevduat Stoku,TP.HPBITABLO4.1,evds2,weekly,,Resmi seri adi: Bankalar YP Mevduat Stoku | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.7,"Bankalar YP Mevduat Stoku (Yurtiçi Yerleşikler, Gerçek Kişi, Kıymetli Maden)",TP.HPBITABLO4.7,evds2,weekly,,"Resmi seri adi: Bankalar YP Mevduat Stoku (Yurtiçi Yerleşikler, Gerçek Kişi, Kıymetli Maden) | Durum: derived_input",Notebook rolu: balance_sheet_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:bank-fx-deposit-precious-metals,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.12,"Bankalar YP Mevduat Stoku (Yurtiçi Yerleşikler, Tüzel Kişi, Kıymetli Maden)",TP.HPBITABLO4.12,evds2,weekly,,"Resmi seri adi: Bankalar YP Mevduat Stoku (Yurtiçi Yerleşikler, Tüzel Kişi, Kıymetli Maden) | Durum: derived_input",Notebook rolu: balance_sheet_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.16,Bankalar YP Mevduat Stoku (Yurtdışı Yerleşikler),TP.HPBITABLO4.16,evds2,weekly,,Resmi seri adi: Bankalar YP Mevduat Stoku (Yurtdışı Yerleşikler) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.20,"Bankalar YP Mevduat Stoku (Yurtdışı Yerleşikler, Kıymetli Maden)",TP.HPBITABLO4.20,evds2,weekly,,"Resmi seri adi: Bankalar YP Mevduat Stoku (Yurtdışı Yerleşikler, Kıymetli Maden) | Durum: derived_input",Notebook rolu: balance_sheet_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:bank-fx-deposit-precious-metals,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO4.21,Bankalar YP Mevduat Stoku (Yurtdışı Yerleşik Bankalar),TP.HPBITABLO4.21,evds2,weekly,,Resmi seri adi: Bankalar YP Mevduat Stoku (Yurtdışı Yerleşik Bankalar) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.AB.N06,TCMB Uluslararası Net Rezervler (TL),TP.AB.N06,evds2,weekly,TL,Resmi seri adi: TCMB Uluslararası Net Rezervler (TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:tcmb-net-reserves,,,,,,,,,,,,,,
series,evds:TP.AB.TOPLAM,TCMB Uluslararası Brüt Rezervler,TP.AB.TOPLAM,evds2,weekly,,Resmi seri adi: TCMB Uluslararası Brüt Rezervler | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:tcmb-gross-reserves,,,,,,,,,,,,,,
series,evds:TP.DB.B01,Toplam Brüt Dış Borç Stoku,TP.DB.B01,evds2,quarterly,,Resmi seri adi: Toplam Brüt Dış Borç Stoku | Durum: derived_input,Notebook rolu: stock_total,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:bank-tl-loans,,,,,,,,,,,,,,
series,evds:TP.DB.B02,Toplam Brüt Dış Borç Stoku (Kısa Vade),TP.DB.B02,evds2,quarterly,,Resmi seri adi: Toplam Brüt Dış Borç Stoku (Kısa Vade) | Durum: derived_input,Notebook rolu: stock_total,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:bank-fx-loans,,,,,,,,,,,,,,
series,evds:TP.DB.B03,Kamu Brüt Dış Borç Stoku (Kısa Vade),TP.DB.B03,evds2,quarterly,,Resmi seri adi: Kamu Brüt Dış Borç Stoku (Kısa Vade) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B09,Bankalar Brüt Dış Borç Stoku (1),TP.DB.B09,evds2,quarterly,,Resmi seri adi: Bankalar Brüt Dış Borç Stoku (1) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B11,Reel Sektör Brüt Dış Borç Stoku (1),TP.DB.B11,evds2,quarterly,,Resmi seri adi: Reel Sektör Brüt Dış Borç Stoku (1) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B14,TCMB Brüt Dış Borç Stoku (Kısa Vade),TP.DB.B14,evds2,quarterly,,Resmi seri adi: TCMB Brüt Dış Borç Stoku (Kısa Vade) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B17,Bankalar Brüt Dış Borç Stoku (3),TP.DB.B17,evds2,quarterly,,Resmi seri adi: Bankalar Brüt Dış Borç Stoku (3) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B19,Reel Sektör Brüt Dış Borç Stoku (2),TP.DB.B19,evds2,quarterly,,Resmi seri adi: Reel Sektör Brüt Dış Borç Stoku (2) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B20,Toplam Brüt Dış Borç Stoku (Uzun Vade),TP.DB.B20,evds2,quarterly,,Resmi seri adi: Toplam Brüt Dış Borç Stoku (Uzun Vade) | Durum: derived_input,Notebook rolu: stock_total,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B21,Kamu Brüt Dış Borç Stoku (Uzun Vade),TP.DB.B21,evds2,quarterly,,Resmi seri adi: Kamu Brüt Dış Borç Stoku (Uzun Vade) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B27,Bankalar Brüt Dış Borç Stoku (2),TP.DB.B27,evds2,quarterly,,Resmi seri adi: Bankalar Brüt Dış Borç Stoku (2) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B29,Reel Sektör Brüt Dış Borç Stoku (3),TP.DB.B29,evds2,quarterly,,Resmi seri adi: Reel Sektör Brüt Dış Borç Stoku (3) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B32,TCMB Brüt Dış Borç Stoku (Uzun Vade),TP.DB.B32,evds2,quarterly,,Resmi seri adi: TCMB Brüt Dış Borç Stoku (Uzun Vade) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B35,Bankalar Brüt Dış Borç Stoku (4),TP.DB.B35,evds2,quarterly,,Resmi seri adi: Bankalar Brüt Dış Borç Stoku (4) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.DB.B37,Reel Sektör Brüt Dış Borç Stoku (4),TP.DB.B37,evds2,quarterly,,Resmi seri adi: Reel Sektör Brüt Dış Borç Stoku (4) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:gross-external-debt-to-gdp,,,,,,,,,,,,,,
series,evds:TP.DIBSPIYDEG.ST,Hazine DİBS Stoku (TL),TP.DIBSPIYDEG.ST,evds2,weekly,TL,Resmi seri adi: Hazine DİBS Stoku (TL) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:foreign-dibs-stock-all-in,,,,,,,,,,,,,,
series,evds:TP.DK.USD.A.YTL,USD/TL (Alış Kuru),TP.DK.USD.A.YTL,evds2,daily,,Resmi seri adi: USD/TL (Alış Kuru) | Durum: derived_input,Notebook rolu: ratio_input,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:usdtry-buy-rate,,,,,,,,,,,,,,
series,evds:TP.EBONDPIYDEG.ST,Kamu Brüt Dış Borç Stoku (Eurobond - Yaşayan Stok),TP.EBONDPIYDEG.ST,evds2,weekly,Eurobond - Yaşayan Stok,Resmi seri adi: Kamu Brüt Dış Borç Stoku (Eurobond - Yaşayan Stok) | Durum: derived_input,Notebook rolu: stock_component,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
series,evds:TP.FDVY37,Reel Sektör Net Döviz Pozisyonu,TP.FDVY37,evds2,quarterly,,Resmi seri adi: Reel Sektör Net Döviz Pozisyonu | Durum: derived_input,Notebook rolu: ratio_input,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,derived:gross-external-debt-to-gdp,,,,,,,,,,,,,,
series,evds:TP.KALANVADE.K13,Vadesine 1 Yıldan Az Kalan Dış Borç (Ticari Krediler),TP.KALANVADE.K13,evds2,monthly,,Resmi seri adi: Vadesine 1 Yıldan Az Kalan Dış Borç (Ticari Krediler) | Durum: derived_input,Notebook rolu: term_split_line,,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity,,,,,,,,,,,,,,,
