record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.HPBITABLO1.19,Repo (Bin TL),TP.HPBITABLO1.19,evds2,weekly,Bin TL,Resmi seri adi: Repo (Bin TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO1.20,Para Piyasası Fonları (Bin TL),TP.HPBITABLO1.20,evds2,weekly,Bin TL,Resmi seri adi: Para Piyasası Fonları (Bin TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO1.21,İhraç Edilen Menkul Kıymetler (Bin TL),TP.HPBITABLO1.21,evds2,weekly,Bin TL,Resmi seri adi: İhraç Edilen Menkul Kıymetler (Bin TL) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.2,"TL+YP Mevduat (Toplam, Bankalar Hariç)",TP.HPBITABLO2.2,evds2,weekly,,"Resmi seri adi: TL+YP Mevduat (Toplam, Bankalar Hariç) | Durum: derived_input",Notebook rolu: stock_total,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,derived:resident-financial-assets-total,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.3,"TL Mevduat (Toplam, Bankalar Hariç)",TP.HPBITABLO2.3,evds2,weekly,,"Resmi seri adi: TL Mevduat (Toplam, Bankalar Hariç) | Durum: derived_input",Notebook rolu: stock_total,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.4,TL Mevduat (Gerçek Kişi),TP.HPBITABLO2.4,evds2,weekly,,Resmi seri adi: TL Mevduat (Gerçek Kişi) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.5,TL Mevduat (Tüzel Kişi),TP.HPBITABLO2.5,evds2,weekly,,Resmi seri adi: TL Mevduat (Tüzel Kişi) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.6,"YP Mevduat (Toplam, Bankalar Hariç)",TP.HPBITABLO2.6,evds2,weekly,,"Resmi seri adi: YP Mevduat (Toplam, Bankalar Hariç) | Durum: derived_input",Notebook rolu: stock_total,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.7,YP Mevduat (Gerçek Kişi),TP.HPBITABLO2.7,evds2,weekly,,Resmi seri adi: YP Mevduat (Gerçek Kişi) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.8,YP Mevduat (Tüzel Kişi),TP.HPBITABLO2.8,evds2,weekly,,Resmi seri adi: YP Mevduat (Tüzel Kişi) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.13,TL+YP Mevduat (Bankalar),TP.HPBITABLO2.13,evds2,weekly,,Resmi seri adi: TL+YP Mevduat (Bankalar) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.14,TL Mevduat (Bankalar),TP.HPBITABLO2.14,evds2,weekly,,Resmi seri adi: TL Mevduat (Bankalar) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,derived:tl-deposit-total,,,,,,,,,,,,,,
series,evds:TP.HPBITABLO2.15,YP Mevduat (Bankalar),TP.HPBITABLO2.15,evds2,weekly,,Resmi seri adi: YP Mevduat (Bankalar) | Durum: derived_input,Notebook rolu: balance_sheet_line,,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits,derived:fx-deposit-total,,,,,,,,,,,,,,
