record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.EBONDYAZDEG.S2D,1.2.2.Diğer,TP.EBONDYAZDEG.S2D,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDYAZDEG.S2D | Confidence: 0.95 | Catalog source: catalog:evds2:TP.EBONDYAZDEG.S2D,Inferred notebook role: stock_component,theme:eurobond|theme:external-financing
series,evds:TP.EBONDYAZDEG.ST,"1.Toplam (S.1, S.2)",TP.EBONDYAZDEG.ST,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDYAZDEG.ST | Confidence: 0.95 | Catalog source: catalog:evds2:TP.EBONDYAZDEG.ST,Inferred notebook role: stock_total,theme:eurobond|theme:external-financing
series,evds:TP.YDOSBAYAZDEG.S11T,"1.A.Toplam (S.1, S.2) (Finansal Olmayan Kuruluş İhraçları)",TP.YDOSBAYAZDEG.S11T,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S11T | Confidence: 0.95 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S11T,Inferred notebook role: stock_total,theme:eurobond|theme:external-financing
series,evds:TP.YDOSBAYAZDEG.S122T,"1.B.Toplam (S.1, S.2) (Banka İhraçları)",TP.YDOSBAYAZDEG.S122T,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S122T | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S122T,Inferred notebook role: stock_total,theme:eurobond|theme:external-financing
series,evds:TP.YDOSBAYAZDEG.S125T,"1.C.Toplam (S.1, S.2) (Diğer Finansal Aracı İhraçları)",TP.YDOSBAYAZDEG.S125T,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S125T | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S125T,Inferred notebook role: stock_total,theme:eurobond|theme:external-financing
series,evds:TP.YDOSBAYAZDEG.S126T,"1.D.Toplam (S.1, S.2) (Finansal Yardımcı İhraçları)",TP.YDOSBAYAZDEG.S126T,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S126T | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S126T,Inferred notebook role: stock_total,theme:eurobond|theme:external-financing
series,evds:TP.YDOSBAYAZDEG.S19,1.A.2.2.Diğer (Finansal Olmayan Kuruluş İhraçları),TP.YDOSBAYAZDEG.S19,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S19 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S19,Inferred notebook role: stock_component,theme:eurobond|theme:external-financing
series,evds:TP.YDOSBAYAZDEG.S38,1.B.2.2.Diğer (Banka İhraçları),TP.YDOSBAYAZDEG.S38,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S38 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S38,Inferred notebook role: stock_component,theme:eurobond|theme:external-financing
series,evds:TP.YDOSBAYAZDEG.S55,1.C.2.Dünyanın Geri Kalanı (S.2) (Diğer Finansal Aracı İhraçları),TP.YDOSBAYAZDEG.S55,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S55 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S55,Inferred notebook role: stock_component,theme:eurobond|theme:external-financing
series,evds:TP.YDOSBAYAZDEG.S76,1.D.2.2.Diğer (Finansal Yardımcı İhraçları),TP.YDOSBAYAZDEG.S76,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S76 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S76,Inferred notebook role: stock_component,theme:eurobond|theme:external-financing
