record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.HPBITABLO2.1,1.TOPLAM MEVDUAT,TP.HPBITABLO2.1,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.1 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.HPBITABLO2.1,Inferred notebook role: stock_total,theme:dth
series,evds:TP.HPBITABLO2.2,1.1.Yurt İçi Yerleşikler,TP.HPBITABLO2.2,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.2 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.HPBITABLO2.2,Inferred notebook role: owner_split_line,theme:dth
series,evds:TP.HPBITABLO2.3,1.1.1.TL,TP.HPBITABLO2.3,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.3,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.4,1.1.1.a.Gerçek Kişiler,TP.HPBITABLO2.4,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.4 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.4,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.5,1.1.1.b.Tüzel Kişiler,TP.HPBITABLO2.5,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.5 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.5,Inferred notebook role: stock_component,theme:dth
series,evds:TP.HPBITABLO2.6,1.1.2.YP,TP.HPBITABLO2.6,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.6 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.6,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.7,1.1.2.a.Gerçek Kişiler,TP.HPBITABLO2.7,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.7 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.7,Inferred notebook role: currency_split_line,theme:dth
series,evds:TP.HPBITABLO2.8,1.1.2.b.Tüzel Kişiler,TP.HPBITABLO2.8,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.8 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.8,Inferred notebook role: stock_component,theme:dth
series,evds:TP.HPBITABLO2.10,1.1.2.i. Bilgi İçin: Toplam YP Mevduat (Milyon ABD Doları),TP.HPBITABLO2.10,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.10 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.10,Inferred notebook role: stock_total,theme:dth
series,evds:TP.HPBITABLO2.11,1.1.2.i.a. Bilgi İçin: Gerçek Kişi YP Mevduatı (Milyon ABD Doları),TP.HPBITABLO2.11,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.11,Inferred notebook role: stock_component,theme:dth
series,evds:TP.HPBITABLO2.12,1.1.2.i.b. Bilgi İçin: Tüzel Kişi YP Mevduatı (Milyon ABD Doları),TP.HPBITABLO2.12,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.12 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.12,Inferred notebook role: stock_component,theme:dth
